date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"2011-10-21",0.03209876543209877,6,13,13,"10:30:42"
"2011-10-21",0.1391304347826087,4,27,48,"12:42:19"
"2011-10-21",0.05263157894736842,0,3,5,"13:40:59"
"2011-10-25",0.024739583333333332,13,22,19,"04:42:57"
"2011-10-25",-0.02857142857142857,9,9,-7,"06:53:15"
"2011-10-30",0.012875536480686695,6,11,6,"05:24:00"
"2011-10-31",-0.028790786948176585,19,9,-15,"10:43:34"
"2011-11-03",-0.021897810218978103,3,1,-3,"05:31:15"
"2011-11-21",0.04684317718940937,0,13,23,"02:17:15"
"2012-01-20",0,3,2,0,"10:43:56"
"2012-02-17",0.05063291139240506,2,7,8,"05:53:32"
"2012-05-13",0.06415929203539823,37,101,116,"20:52:38"
"2012-11-10",0.035794183445190156,27,41,32,"19:09:25"
"2012-11-10",0.035794183445190156,27,41,32,"19:09:40"
"2012-11-12",0.04032258064516129,10,27,30,"00:22:31"
"2012-11-12",0.04032258064516129,10,27,30,"00:22:44"
"2012-12-13",0.15306122448979592,2,21,45,"06:54:55"
"2012-12-13",0.04975124378109453,4,26,30,"08:34:23"
"2013-01-02",0.07958626634104296,139,435,554,"02:49:47"
"2013-01-06",0.039093484419263455,41,83,69,"14:59:33"
"2013-01-07",0.07847533632286996,7,25,35,"22:21:46"
"2013-01-08",0,0,0,0,"03:00:40"
"2013-01-13",0.041791044776119404,16,31,28,"01:22:38"
"2013-01-13",0.041728763040238454,16,31,28,"01:22:57"
"2013-01-13",0.022813688212927757,7,8,6,"10:11:08"
"2013-01-17",0.047058823529411764,0,3,4,"03:28:40"
"2013-01-28",-0.007407407407407408,2,1,-1,"18:34:28"
"2013-01-31",0.07142857142857142,2,20,32,"14:37:33"
"2013-02-04",0.04390243902439024,3,9,9,"10:25:08"
"2013-02-07",0,0,0,0,"00:46:55"
"2013-02-10",0.013986013986013986,6,5,4,"18:37:18"
"2013-02-11",-0.05803571428571429,46,29,-52,"01:07:36"
"2013-02-15",0.06666666666666667,4,11,15,"23:12:25"
"2013-02-17",0,0,0,0,"15:23:54"
"2013-02-22",-0.024390243902439025,1,0,-1,"23:53:17"
"2013-02-23",0.06374501992031872,13,26,16,"02:24:41"
"2013-02-23",0.06460945033751206,26,57,67,"17:45:03"
"2013-02-23",-0.08393285371702638,21,7,-35,"20:25:15"
"2013-02-24",0.06624012043658262,26,121,176,"20:25:37"
"2013-02-25",0.08047690014903129,12,38,54,"03:32:35"
"2013-02-25",0.019230769230769232,0,1,1,"03:40:00"
"2013-02-28",0.05555555555555555,1,4,7,"07:16:31"
"2013-03-04",0.04597701149425287,0,3,4,"02:20:56"
"2013-03-20",0.05701754385964912,16,42,39,"02:09:28"
"2013-03-24",0,0,0,0,"18:55:27"
"2013-03-28",0.057649667405764965,48,94,104,"04:33:10"
"2013-03-28",0.050134288272157566,20,52,56,"20:41:42"
"2013-04-03",0.06718172657037286,145,361,400,"17:50:05"
"2013-04-04",0,0,0,0,"19:36:34"
"2013-04-13",0.08757819481680071,22,69,98,"16:33:03"
"2013-04-14",0.049891540130151846,3,13,23,"15:44:58"
"2013-04-18",0.09375,1,4,6,"02:43:41"
"2013-04-18",0,8,7,0,"06:53:00"
"2013-04-26",0.11853448275862069,9,35,55,"15:09:26"
"2013-05-02",0.09090909090909091,0,4,6,"12:04:35"
"2013-05-03",0.026415094339622643,2,6,7,"10:36:00"
"2013-05-03",0.07217847769028872,12,40,55,"11:15:00"
"2013-05-03",0.05303030303030303,1,3,7,"12:28:00"
"2013-05-04",0.011097410604192354,15,24,9,"16:50:00"
"2013-05-05",0.03731343283582089,0,2,5,"19:30:04"
"2013-05-06",-0.005439709882139619,48,42,-6,"19:06:06"
"2013-05-06",-0.005439709882139619,48,42,-6,"19:06:58"
"2013-05-06",0,0,0,0,"19:17:20"
"2013-05-19",0.016025641025641024,5,5,5,"14:25:50"
"2013-05-24",0.0027472527472527475,3,2,1,"18:09:52"
"2013-06-12",-0.041379310344827586,6,7,-6,"14:02:34"
"2013-06-12",-0.041379310344827586,6,7,-6,"14:02:54"
"2013-06-29",0.039603960396039604,1,4,4,"13:50:37"
"2013-06-29",0.039603960396039604,1,4,4,"13:51:49"
"2013-07-11",0.07056451612903226,22,56,70,"03:21:49"
"2013-07-12",0.0891089108910891,11,39,63,"03:16:13"
"2013-07-12",0.011049723756906077,9,12,6,"04:19:02"
"2013-07-13",0.09245283018867924,11,31,49,"04:43:18"
"2013-07-20",0.003367003367003367,9,5,1,"09:23:56"
"2013-07-20",0.04984423676012461,6,15,16,"09:50:05"
"2013-07-20",0.043478260869565216,0,1,1,"10:03:35"
"2013-07-24",0.03686635944700461,29,46,40,"10:51:49"
"2013-07-26",0.051291939838025456,67,134,133,"20:49:42"
"2013-07-28",0.01744186046511628,9,13,6,"04:23:21"
"2013-07-30",0.05756578947368421,19,52,70,"03:45:42"
"2013-07-30",0.08008213552361396,8,32,39,"11:33:25"
"2013-07-31",0.05571565802113353,26,55,58,"01:43:32"
